Id;Nazwa;M¹ka;Miêso;bia³ko;¿ó³tko;olej;sól;woda;cebula;czosnek;przyprawy/zio³a;ser bia³y;ciastka/bu³ka tarta;mas³o;œmietana;cukier/miód;mleko;galaretka/budyñ;orzechy/nasiona;owoce;proszek do pieczenia/soda;kakao;jogurt;cytryna;skrobia;warzywa;ser;czekolada;dro¿d¿e;kawa;makaron/ry¿/kasza
1;Chinkali;1000;1000;1;1;60;3;400;1;2;2;;;;;;;;;;;;;;;;;;;;
2;Sernik dyniowy;;;4;4;;;;;;;1000;200;50;100;150;;;;;;;;;;250;;;;;
3;Szarlotka bez pieczenia;;;;;;;570;;;;;150;;;50;220;2;100;2000;;;;;;;;;;;
4;Ciasto czekoladowe z owocami;320;;2;2;230;1;;;;;;;;;180;250;1;50;500;2;25;;;;;;;;;
5;Ciasto z owocami;360;;4;4;120;;;;;;;;;;130;;;;400;3;;150;;;;;;;;
6;Biszkopt z jab³kami;240;;6;6;30;;;;;;;;;;200;;;;700;1;;;;;;;;;;
7;Ciasto marchewkowe;250;;4;4;180;2;;;;3,25;250;;150;;400;;;;120;3;;;;;300;;;;;
8;Ciasto z serem;320;;4;4;;;;;;;250;;100;;120;100;;;300;2;;;;;;;50;;;
9;Fale dunaju;400;;5;8;;;;;;;;;375;;250;550;;;350;2;20;;;;;;;;;
10;Babka jogurtowa;320;;4;4;160;;;;;;;;;;270;;;;;2;;300;1;;;;;;;
11;Chleb;700;;;;;4;480;;;;;;;;;;;;;;;;;;;;;;;
12;Pizza;180;;;;30;8;125;;1;4;;;;;;;;;;;;;;;100;70;;10;;
13;Bu³ki poznañskie;400;;;;30;4;300;;;;;;;;5;;;;;;;;;;;;;15;;
14;Tortilla;400;;;;;4;200;;;;;;30;;;;;;;;;;;;;;;;;
15;Chleb razowy;500;;;;15;8;500;;;;;;;;10;;;100;;;;;;;;;;15;;
16;Malinowa chmurka;180;;3;3;;;1050;;;2;250;;110;500;250;;4;50;500;1;;;;;;;;;;
17;Brownie;140;;6;6;;2;;;;;;;200;;250;;;;;;100;;;;;;200;;;
18;Makowiec;500;;3;2;;;;;;;;;100;;150;140;;750;;;;;;;;;;40;;
19;Racuchy;260;;1;1;30;;;;;;;;;;30;130;;;;;;;;;;;;25;;
20;Pancakes;200;;3;3;30;;;;;;;;;;;250;;;;0,5;;30;;;;;;;;
21;Naleœniki;200;;3;3;40;1;250;;;;;;;;;250;;;;;;;;;;;;;;
22;Rogale;480;;;2;;4;125;;;;;;50;;5;;;;;;;120;;;;;;15;;
23;Langosz;400;;;;300;4;;;;;;;;;5;250;;;;;;;;;;;;20;;
24;Focaccia;320;;;;30;8;200;;;2;;;;;5;;;;;;;;;;;;;20;;
25;Obwarzanki;500;;;;;2;100;;;;;;100;;3;100;;;;;;;;;;;;50;;
26;Gazpacho;;;;;40;2;;0,25;2;3;;;;;;;;;;;;;1;;1250;;;;;
27;Zupa dyniowa;;;;;;4;750;1;4;4;;;40;;;400;;;;;;;;;1500;;;;;
28;Zupa pomidorowa;;1000;;;;4;1500;1;;2;;;;100;;;;;;;;;;;1350;;;;;
29;Krem z bia³ych warzyw;;;;;40;8;750;2;4;3;;;;;200;;;;;;;;;;1500;;;;;
30;Rosó³;;1500;;;;8;2000;1;;5;;;;;;;;;;;;;;;650;;;;;
31;Scones;280;;1;1;;2;;;;2;;;120;120;100;;;;100;2,5;;;;;;;;;;
32;Pierniczki;640;;2;2;;1;;;;4;;;200;;200;;;;;2;20;;;;;;;;;
33;pieguski;380;;2;2;;1;;;;1;;;200;;100;;;100;;2;;;;;;;100;;;
34;rurki z kremem;400;;;;;;;;;1;250;;200;450;110;;;;;;;;;;;;;;;
35;rogaliki;500;;;;;;;;;;;;200;180;25;;;;150;;;;;;;;;40;;
36;ciastka czekoladowe;240;;2;2;;;;;;;;;200;;130;;;50;;1;40;;;;;;150;;;
37;Zupa paprykowa;;;;;20;4;500;1;4;4;;;;;;;;;;;;;;;1000;40;;;;
38;Leczo;;400;;;30;;;2;6;4;;;;;;;;;;;;;;;1500;;;;;
39;Kebab;;1000;;;20;8;;1;2;5;;;;;;;;;;;;;;;;;;;;
40;Chilli con carne;;600;;;40;4;;1;4;5;;;;;;;;;;;;;;;600;;;;;
41;Kaczka z jab³kami;;2500;;;;8;;;;6;;;20;;;;;;350;;;;;;;;;;;
42;Kopytka;160;;1;1;;2;;;;;;;;;;;;;;;;;;;1000;;;;;
43;Jajka po turecku;;;1;1;;2;;;1;1;;;20;;;;;;;;;80;1;;;;;;;
44;Ratatouille;;;;;30;8;;1;3;4;;;;;;;;;;;;;;;2500;;;;;
45;Omlet z warzywami;25;;3;3;;2;;;;0,5;;;20;;;;;;;;;;;;230;;;;;
